time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0,0.239,0.629861,0.885199,1.68714,2.97385,5.66723
0,0.239,0.631861,0.885199,1.78307,3.24588,5.97535
0,0.239,0.633861,0.885199,1.85421,3.59909,6.31205
0,0.239,0.635861,0.885199,1.8876,3.84996,6.47409
0,0.239,0.6378609999999999,0.885199,1.8889,4.01213,6.51873
0,0.239,0.6398609999999999,0.885199,1.81079,4.01772,6.30422
0,0.239,0.6418609999999999,0.885199,1.73216,4.03152,6.09599
0,0.239,0.6438609999999999,0.885199,1.57691,4.02806,5.75603
0,0.239,0.6458609999999999,0.885199,1.46373,3.97714,5.42264
0,0.239,0.6478609999999999,0.885199,1.36776,3.94692,5.19297
0,0.239,0.6498609999999999,0.885199,1.27429,3.94101,4.97396
0,0.239,0.6518609999999999,0.885199,1.22229,3.9753,4.84239
0,0.239,0.6538609999999999,0.885199,1.17395,3.9785,4.71573
0,0.239,0.6558609999999999,0.885199,1.13832,3.98471,4.60268
0,0.239,0.6578609999999999,0.885199,1.10428,3.95034,4.46151
0,0.239,0.6598609999999999,0.885199,1.0748,3.91228,4.30935
0,0.239,0.6618609999999999,0.885199,1.03286,3.859,4.14614
0,0.239,0.6638609999999999,0.885199,0.98237,3.79848,3.97068
0,0.239,0.6658609999999999,0.885199,0.930895,3.75206,3.79818
0,0.239,0.46586099999999997,0.883199,1.81563,-6.62351,6.16304
0,0.239,0.46786099999999997,0.883199,1.84154,-6.54153,6.27729
0,0.239,0.469861,0.883199,1.83479,-6.4151,6.3562
0,0.239,0.471861,0.883199,1.89239,-6.31533,6.46067
0,0.239,0.473861,0.883199,1.95418,-6.23228,6.57869
0,0.239,0.475861,0.883199,1.96874,-6.11947,6.63795
0,0.239,0.477861,0.883199,1.94417,-5.96526,6.61958
0,0.239,0.479861,0.883199,1.87815,-5.79277,6.57601
0,0.239,0.48186099999999993,0.883199,1.86936,-5.66216,6.57188
0,0.239,0.48386099999999993,0.883199,1.86161,-5.54344,6.54073
0,0.239,0.48586099999999993,0.883199,1.85345,-5.42697,6.51956
0,0.239,0.48786099999999993,0.883199,1.85462,-5.3548,6.54249
0,0.239,0.48986099999999994,0.883199,1.88816,-5.29781,6.6089
0,0.239,0.49186099999999994,0.883199,1.8973,-5.22345,6.62748
0,0.239,0.49386099999999994,0.883199,1.94032,-5.21295,6.70841
0,0.239,0.49586099999999994,0.883199,1.95677,-5.20575,6.75931
0,0.239,0.49786099999999994,0.883199,1.97147,-5.17112,6.82008
0,0.239,0.49986099999999994,0.883199,1.97512,-5.13655,6.86905
0,0.239,0.5018609999999999,0.883199,1.96202,-5.08377,6.89045
0,0.239,0.5038609999999999,0.883199,1.93164,-4.9995,6.88075
0,0.239,0.5058609999999999,0.883199,1.87335,-4.8724,6.82973
0,0.239,0.5078609999999999,0.883199,1.82456,-4.76623,6.78245
0,0.239,0.5098609999999999,0.883199,1.74364,-4.59669,6.66898
0,0.239,0.5118609999999999,0.883199,1.68315,-4.45417,6.60202
0,0.239,0.5138609999999999,0.883199,1.63088,-4.31026,6.58367
0,0.239,0.5158609999999999,0.883199,1.59746,-4.19218,6.61089
0,0.239,0.5178609999999999,0.883199,1.59983,-4.09979,6.66276
0,0.239,0.5198609999999999,0.883199,1.61986,-4.02152,6.70902
0,0.239,0.5218609999999999,0.883199,1.64901,-3.92391,6.73015
0,0.239,0.5238609999999999,0.883199,1.66094,-3.79939,6.72224
0,0.239,0.5258609999999999,0.883199,1.66255,-3.63645,6.67161
0,0.239,0.5278609999999999,0.883199,1.64013,-3.46983,6.61115
0,0.239,0.5298609999999999,0.883199,1.64004,-3.29976,6.62815
0,0.239,0.5318609999999999,0.883199,1.68111,-3.14134,6.74964
0,0.239,0.5338609999999999,0.883199,1.72149,-3.0229,6.88743
0,0.239,0.5358609999999999,0.883199,1.74728,-2.91795,7.05401
0,0.239,0.5378609999999999,0.883199,1.77319,-2.80924,7.27089
0,0.239,0.5398609999999999,0.883199,1.78864,-2.72637,7.41406
0,0.239,0.5418609999999999,0.883199,1.80036,-2.58429,7.39726
0,0.239,0.5438609999999999,0.883199,1.78852,-2.44944,7.32649
0,0.239,0.5458609999999999,0.883199,1.78405,-2.32037,7.27879
0,0.239,0.5478609999999999,0.883199,1.78817,-2.15541,7.27201
0,0.239,0.5498609999999999,0.883199,1.8347,-2.00454,7.33947
0,0.239,0.5518609999999999,0.883199,1.88193,-1.84677,7.41057
0,0.239,0.5538609999999999,0.883199,1.94354,-1.67755,7.55736
0,0.239,0.5558609999999999,0.883199,1.98325,-1.50614,7.74558
0,0.239,0.5578609999999999,0.883199,2.06383,-1.31762,8.01081
0,0.239,0.5598609999999999,0.883199,2.1106,-1.14792,8.22046
0,0.239,0.5618609999999999,0.883199,2.11652,-0.94027,8.31838
0,0.239,0.563861,0.883199,2.17005,-0.706456,8.4577
0,0.239,0.565861,0.883199,2.20165,-0.4608,8.57597
0,0.239,0.567861,0.883199,2.22651,-0.199708,8.71509
0,0.239,0.569861,0.883199,2.26928,0.0647045,8.83145
0,0.239,0.571861,0.883199,2.36122,0.336661,9.01337
0,0.239,0.573861,0.883199,2.45432,0.600115,9.21739
0,0.239,0.575861,0.883199,2.48416,0.820156,9.31384
0,0.239,0.577861,0.883199,2.43912,1.00398,9.27303
0,0.239,0.579861,0.883199,2.33511,1.14575,9.0788
0,0.239,0.581861,0.883199,2.23519,1.26464,8.84011
0,0.239,0.583861,0.883199,2.16124,1.35551,8.62736
0,0.239,0.585861,0.883199,2.03192,1.43514,8.19255
0,0.239,0.587861,0.883199,1.83296,1.48318,7.50209
0,0.239,0.589861,0.883199,1.62866,1.48995,6.80147
0,0.239,0.591861,0.883199,1.51818,1.48085,6.35044
0,0.239,0.593861,0.883199,1.41242,1.46851,5.99402
0,0.239,0.595861,0.883199,1.35032,1.47653,5.81572
0,0.239,0.597861,0.883199,1.23693,1.44848,5.47888
0,0.239,0.599861,0.883199,1.13321,1.41469,5.12944
0,0.239,0.601861,0.883199,1.0605,1.38543,4.87448
0,0.239,0.603861,0.883199,1.01491,1.37225,4.61239
0,0.239,0.605861,0.883199,0.998264,1.35852,4.43093
0,0.239,0.607861,0.883199,0.997118,1.36163,4.22534
0,0.239,0.609861,0.883199,0.99344,1.37028,4.0333
0,0.239,0.611861,0.883199,0.996023,1.38415,3.89679
0,0.239,0.613861,0.883199,1.02393,1.43616,3.84365
0,0.239,0.615861,0.883199,1.0592,1.51911,3.89109
0,0.239,0.617861,0.883199,1.10607,1.64504,4.0097
0,0.239,0.619861,0.883199,1.18904,1.82876,4.21412
0,0.239,0.621861,0.883199,1.2702,2.02623,4.45066
0,0.239,0.623861,0.883199,1.38311,2.2712,4.74427
0,0.239,0.625861,0.883199,1.51187,2.53828,5.06783
0,0.239,0.627861,0.883199,1.60132,2.76635,5.33484
0,0.239,0.629861,0.883199,1.66658,2.95663,5.55812
0,0.239,0.631861,0.883199,1.73705,3.2209,5.79043
0,0.239,0.633861,0.883199,1.80875,3.5262,6.10368
0,0.239,0.635861,0.883199,1.86361,3.79027,6.32417
0,0.239,0.6378609999999999,0.883199,1.84076,3.90611,6.29338
0,0.239,0.6398609999999999,0.883199,1.7658,3.87961,6.09026
0,0.239,0.6418609999999999,0.883199,1.69875,3.90594,5.88023
0,0.239,0.6438609999999999,0.883199,1.56357,3.91346,5.59089
0,0.239,0.6458609999999999,0.883199,1.44207,3.91174,5.29107
0,0.239,0.6478609999999999,0.883199,1.3565,3.94074,5.10848
0,0.239,0.6498609999999999,0.883199,1.29182,3.97249,4.93042
0,0.239,0.6518609999999999,0.883199,1.22973,3.99284,4.80775
0,0.239,0.6538609999999999,0.883199,1.19412,4.01251,4.69026
0,0.239,0.6558609999999999,0.883199,1.17413,4.03505,4.60098
0,0.239,0.6578609999999999,0.883199,1.13536,3.98199,4.4337
0,0.239,0.6598609999999999,0.883199,1.08589,3.90633,4.23505
0,0.239,0.6618609999999999,0.883199,1.04513,3.83148,4.03888
0,0.239,0.6638609999999999,0.883199,0.99861,3.79102,3.8716
0,0.239,0.6658609999999999,0.883199,0.952911,3.73465,3.68939
0,0.239,0.46586099999999997,0.881199,1.82984,-6.74668,6.09193
0,0.239,0.46786099999999997,0.881199,1.85651,-6.67397,6.22452
0,0.239,0.469861,0.881199,1.86184,-6.55026,6.31189
0,0.239,0.471861,0.881199,1.93194,-6.49219,6.46601
0,0.239,0.473861,0.881199,1.9991,-6.41103,6.57645
0,0.239,0.475861,0.881199,2.0114,-6.26375,6.64096
0,0.239,0.477861,0.881199,2.00777,-6.14886,6.65077
0,0.239,0.479861,0.881199,1.99006,-6.01996,6.65676
0,0.239,0.48186099999999993,0.881199,1.94561,-5.8481,6.61882
