time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0,0.042,-0.0084,0.006,15.4014,-6.43682,4.33626
0,0.042,-0.0078,0.0096,15.0672,-5.58721,6.40334
0,0.042,0.0084,0.006,15.779,6.24679,4.73569
0,0.042,-0.0102,0.0084,14.7567,-6.91766,5.29135
0,0.042,0.0096,0.0072,15.461,6.55318,5.25233
0,0.042,-0.0138,0.0018,14.3813,-8.8566,0.816989
0,0.042,-0.0114,-0.0006,15.2456,-8.08561,-0.729732
0,0.042,0.0018,0.0048,16.7526,0.734625,4.1622
0,0.042,-0.0108,-0.0024,15.4445,-7.6777,-2.07836
0,0.042,0.0012,-0.012,15.3948,1.17858,-8.29342
0,0.042,0.012,0,15.0228,8.19468,0.380599
0,0.042,-0.0126,-0.0006,14.8481,-8.48518,-0.738094
0,0.042,0.0096,0,15.5771,7.41682,0.426504
0,0.042,0,-0.0126,15.3609,0.337067,-8.6423
0,0.042,-0.0126,0.0024,14.7137,-8.51327,1.2847
0,0.042,0,-0.012,15.4913,0.347415,-8.39482
0,0.042,0.0084,0.0066,15.7478,6.06726,5.13876
0,0.042,-0.0102,0.0078,14.8584,-7.00969,4.94671
0,0.042,-0.0072,-0.0108,15.0639,-4.44951,-7.28295
0,0.042,0.0018,0.0042,16.8348,0.73754,3.51072
0,0.042,0.0096,-0.0066,15.0517,6.92246,-4.43114
0,0.042,0.0144,0.0024,14.2299,8.92142,1.78838
0,0.042,-0.012,0,15.0213,-8.30692,-0.338473
0,0.042,0.0096,-0.0006,15.5641,7.48899,-0.105008
0,0.042,0.0018,-0.0108,15.5488,1.66809,-7.74163
0,0.042,0,0.0042,16.8428,-0.306218,3.29946
0,0.042,-0.0114,-0.0024,15.2546,-7.91297,-2.06805
0,0.042,0.0012,0.0138,14.9751,0.415856,9.00331
0,0.042,-0.0006,-0.0114,15.5054,-0.131738,-8.14596
0,0.042,-0.0114,-0.0096,14.3255,-6.80466,-6.04675
0,0.042,-0.0096,-0.0084,15.1224,-6.19395,-5.82247
0,0.042,-0.0132,0,14.5523,-8.68661,-0.384752
0,0.042,-0.0108,0.0072,14.7762,-7.37686,4.59995
0,0.042,-0.009,0.009,14.8776,-6.27466,5.85353
0,0.042,-0.0108,-0.0018,15.4322,-7.72338,-1.684
0,0.042,0,0.0048,16.7268,-0.298783,4.03969
0,0.042,0.0084,-0.0108,14.8338,5.72902,-6.89741
0,0.042,-0.0078,0.009,15.1156,-5.61269,6.07115
0,0.042,-0.0126,-0.0012,14.8805,-8.46491,-1.21605
0,0.042,-0.0018,-0.012,15.4172,-0.932017,-8.45888
0,0.042,0.0012,0.0036,16.8405,0.337755,2.7554
0,0.042,-0.0126,0.003,14.6531,-8.4469,1.69605
0,0.042,0,0.0126,15.2182,-0.324664,8.56005
0,0.042,-0.0108,0.0084,14.5731,-7.21129,5.1741
0,0.042,-0.0108,0.0012,15.2197,-7.91084,0.525395
0,0.042,-0.0012,-0.0096,15.6853,-0.656199,-7.33437
0,0.042,0.0012,0.0054,16.6479,0.357763,4.6596
0,0.042,-0.012,-0.0054,14.889,-7.80955,-3.82656
0,0.042,-0.0132,0.003,14.46,-8.64474,1.63662
0,0.042,-0.0102,0.0102,14.5292,-6.72038,6.28364
0,0.042,0.015,0.0024,13.9354,9.0397,1.71824
0,0.042,-0.0012,-0.0114,15.5107,-0.470056,-8.13812
0,0.042,-0.0108,-0.003,15.4356,-7.70016,-2.43125
0,0.042,0.0072,-0.012,14.787,4.91027,-7.6256
0,0.042,-0.0048,0.0114,15.2661,-3.57248,7.64724
0,0.042,-0.006,0.0114,15.117,-4.30001,7.48347
0,0.042,0.009,-0.0018,15.655,7.22519,-1.16862
0,0.042,-0.0102,-0.0018,15.5907,-7.53724,-1.66821
0,0.042,0,-0.009,15.8182,0.300997,-6.94051
0,0.042,0.0102,-0.0102,14.4426,6.67936,-6.21049
0,0.042,-0.0144,0.0018,14.1576,-9.00034,0.794308
0,0.042,-0.0102,-0.0006,15.5944,-7.62745,-0.859517
0,0.042,-0.0102,-0.0036,15.4629,-7.4072,-2.93089
0,0.042,-0.0108,-0.0048,15.1322,-7.35846,-3.62929
0,0.042,0.0072,-0.0108,15.0078,5.0786,-7.09706
0,0.042,0.0024,-0.0126,15.1787,1.9564,-8.51522
0,0.042,-0.009,0.0084,15.0098,-6.34103,5.50036
0,0.042,0,-0.0132,15.1693,0.35982,-8.80481
0,0.042,0.0024,0.0048,16.7484,1.29143,4.27148
0,0.042,-0.0102,0.0006,15.4907,-7.63098,0.0702911
0,0.042,0.009,-0.0066,15.1507,6.74342,-4.51182
0,0.042,-0.0006,0.0048,16.7431,-0.632507,3.96773
0,0.042,0.009,-0.0114,14.5496,5.959,-7.10443
0,0.042,0.0024,-0.0114,15.4897,2.01549,-7.95937
0,0.042,0.0006,0.0036,16.8518,-0.0249719,2.80173
0,0.042,0.0018,0.0054,16.6548,0.798158,4.80778
0,0.042,0.0084,-0.0114,14.7069,5.70248,-7.18208
0,0.042,0.0078,0.006,15.8421,6.00582,4.89063
0,0.042,-0.0108,0,15.4171,-7.89314,-0.364412
0,0.042,-0.0102,0,15.5579,-7.61614,-0.383155
0,0.042,-0.0138,0.003,14.2331,-8.78709,1.58549
0,0.042,-0.0144,0.0024,14.0612,-8.96516,1.19682
0,0.042,0.0078,-0.0108,14.8919,5.4643,-6.94211
0,0.042,-0.0102,0.0072,14.9203,-7.09647,4.65953
0,0.042,-0.009,-0.003,15.7578,-6.98318,-2.54236
0,0.042,0.0138,-0.0078,13.843,8.4684,-4.40988
0,0.042,0.0012,-0.0114,15.4971,1.20406,-8.0463
0,0.042,0.0102,0.0066,15.4194,6.9505,4.84284
0,0.042,0.0114,0.0024,15.2612,7.92343,1.98648
0,0.042,0.0024,-0.012,15.3572,1.96567,-8.22934
0,0.042,-0.003,0.0108,15.5809,-2.45065,7.63351
0,0.042,0,-0.0114,15.4931,0.333129,-8.15567
0,0.042,0.0012,-0.0138,14.8831,1.11696,-8.95211
0,0.042,-0.0108,0.009,14.5467,-7.13668,5.59405
0,0.042,0,0.0054,16.5814,-0.316062,4.54832
0,0.042,-0.0102,-0.0012,15.6097,-7.57022,-1.30524
0,0.042,0.0114,0.0036,15.1992,7.83202,2.78075
0,0.042,-0.0096,0.0102,14.6585,-6.44552,6.4061
0,0.042,-0.0096,-0.0048,15.3959,-6.83934,-3.76742
0,0.042,-0.006,0.0108,15.2607,-4.34867,7.25283
0,0.042,0.0114,0,15.1652,8.01376,0.343743
0,0.042,-0.0096,0.0078,14.9951,-6.69767,5.04674
0,0.042,-0.0072,0.006,15.699,-5.82066,4.47933
0,0.042,0.0096,-0.0072,14.9615,6.85001,-4.71546
0,0.042,-0.0096,-0.0042,15.5024,-7.02669,-3.40744
0,0.042,-0.0108,0.0078,14.6821,-7.29569,4.85044
0,0.042,0.0138,0.0024,14.4799,8.7854,1.85584
0,0.042,0.0006,0.0084,16.0903,0.103371,6.64508
0,0.042,-0.0114,0.0072,14.6287,-7.61478,4.50401
0,0.042,0.009,-0.0108,14.6568,6.00501,-6.81014
0,0.042,0.0096,-0.0114,14.4015,6.20786,-7.03598
0,0.042,0.0018,-0.0138,14.8645,1.54372,-8.94482
0,0.042,-0.0102,-0.0054,15.2221,-6.96698,-4.02052
0,0.042,-0.012,0.0012,15.0001,-8.33552,0.445861
