time,vel
0.000000000000000000e+00,2.146638957236935312e+03
5.750431282346176571e-05,2.120179928133774411e+03
1.150086256469235314e-04,2.041455097896885263e+03
1.725129384703852971e-04,1.912405158571716356e+03
2.300172512938470628e-04,1.736211396036690758e+03
2.875215641173088556e-04,1.517217266255833920e+03
3.450258769407705942e-04,1.260821322193778087e+03
4.025301897642323328e-04,9.733441309146761569e+02
4.600345025876941257e-04,6.618724615698158686e+02
5.175388154111559185e-04,3.340845852873916328e+02
5.750431282346177113e-04,-1.939006400490421722e+00
6.325474410580793957e-04,-3.379147985023183196e+02
6.900517538815411885e-04,-6.655604543622605433e+02
7.475560667050029813e-04,-9.767989884074092970e+02
8.050603795284646657e-04,-1.263957876664821924e+03
8.625646923519264585e-04,-1.519958196658020597e+03
9.200690051753882513e-04,-1.738489134084224588e+03
9.775733179988499357e-04,-1.914163554405687591e+03
1.035077630822311837e-03,-2.042650804268434740e+03
1.092581943645773521e-03,-2.120783468982591330e+03
1.150086256469235423e-03,-2.146635454322941769e+03
1.207590569292697107e-03,-2.119569467809360958e+03
1.265094882116158791e-03,-2.040252728978189452e+03
1.322599194939620693e-03,-1.910640521361411629e+03
1.380103507763082377e-03,-1.733927991643473661e+03
1.437607820586544061e-03,-1.514471384223029872e+03
1.495112133410005963e-03,-1.257680652872737028e+03
1.552616446233467647e-03,-9.698860967901530330e+02
1.610120759056929331e-03,-6.581823086728037424e+02
1.667625071880391233e-03,-3.302532817451284473e+02
1.725129384703852917e-03,5.817012873277935370e+00
1.782633697527314818e-03,3.417439088895219470e+02
1.840138010350776503e-03,6.692462750139069385e+02
1.897642323174238187e-03,9.802506579929868167e+02
1.955146635997699871e-03,1.267090306049326273e+03
2.012650948821161773e-03,1.522694166484215430e+03
2.070155261644623674e-03,1.740761198352388874e+03
2.127659574468085141e-03,1.915915703124578840e+03
2.185163887291547043e-03,2.043839844190498070e+03
2.242668200115008944e-03,2.121380088386080843e+03
2.300172512938470845e-03,2.146624945592393487e+03
2.357676825761932313e-03,2.118952090001666420e+03
2.415181138585394214e-03,2.039043701436430183e+03
2.472685451408856115e-03,1.908869648533891450e+03
2.530189764232317583e-03,1.731638928356751649e+03
2.587694077055779484e-03,1.511720559521140785e+03
2.645198389879241385e-03,1.254535878951671293e+03
2.702702702702702853e-03,9.664248973195726649e+02
2.760207015526164754e-03,6.544900077145068735e+02
2.817711328349626655e-03,3.264209003794709929e+02
2.875215641173088123e-03,-9.695000361507064568e+00
2.932719953996550024e-03,-3.455719039522159619e+02
2.990224266820011925e-03,-6.729299114956140784e+02
3.047728579643473393e-03,-9.836991284064487218e+02
3.105232892466935294e-03,-1.270218600124213481e+03
3.162737205290397195e-03,-1.525425166805237950e+03
3.220241518113858663e-03,-1.743027581426012375e+03
3.277745830937320564e-03,-1.917661599010030841e+03
3.335250143760782465e-03,-2.045022213782494191e+03
3.392754456584244366e-03,-2.121969784397099374e+03
3.450258769407705834e-03,-2.146607431079587059e+03
3.507763082231167735e-03,-2.118327796725580811e+03
3.565267395054629637e-03,-2.037828019217422707e+03
3.622771707878091104e-03,-1.907092545868625393e+03
3.680276020701553005e-03,-1.729344213647174001e+03
3.737780333525014907e-03,-1.508964801127831379e+03
3.795284646348476374e-03,-1.251387010693951424e+03
3.852788959171938275e-03,-9.629605437989953316e+02
3.910293271995399743e-03,-6.507955707452157412e+02
3.967797584818862078e-03,-3.225874536978844276e+02
4.025301897642323545e-03,1.357295620887519405e+01
4.082806210465785013e-03,3.493987711972524153e+02
4.140310523289247348e-03,6.766113517853666508e+02
4.197814836112708815e-03,9.871443883932771541e+02
4.255319148936170283e-03,1.273342748679894612e+03
4.312823461759632618e-03,1.528151188708115797e+03
4.370327774583094085e-03,1.745288275908467540e+03
4.427832087406555553e-03,1.919401236364092483e+03
4.485336400230017888e-03,2.046197909185609660e+03
4.542840713053479355e-03,2.122552555091098839e+03
4.600345025876941690e-03,2.146582910841683315e+03
4.657849338700403158e-03,2.117696590018565530e+03
4.715353651523864625e-03,2.036605686288698053e+03
4.772857964347326960e-03,1.905309219165406830e+03
4.830362277170788428e-03,1.727043855003830458e+03
4.887866589994249895e-03,1.506204118036871478e+03
4.945370902817712230e-03,1.248234058376299117e+03
5.002875215641173698e-03,9.594930475347791798e+02
5.060379528464635165e-03,6.470990098221913058e+02
5.117883841288097500e-03,3.187529542113033472e+02
5.175388154111558968e-03,-1.745086775918439770e+01
5.232892466935020435e-03,-3.532244981351713591e+02
5.290396779758482770e-03,-6.802905838683183219e+02
5.347901092581944238e-03,-9.905864267094283377e+02
5.405405405405405705e-03,-1.276462741520322197e+03
5.462909718228868040e-03,-1.530872223296138600e+03
5.520414031052329508e-03,-1.747543274421694832e+03
5.577918343875790975e-03,-1.921134609509233997e+03
5.635422656699253310e-03,-2.047366926562813887e+03
5.692926969522714778e-03,-2.123128398566134365e+03
5.750431282346176246e-03,-2.146551384958706876e+03
5.807935595169638580e-03,-2.117058471940641539e+03
5.865439907993100048e-03,-2.035376706639497115e+03
5.922944220816561516e-03,-1.903519674244357475e+03
5.980448533640023850e-03,-1.724737859934233938e+03
6.037952846463485318e-03,-1.503438519258094402e+03
6.095457159286946786e-03,-1.245077032288788587e+03
6.152961472110409120e-03,-9.560224198435367953e+02
6.210465784933870588e-03,-6.434003370096298795e+02
6.267970097757332056e-03,-3.149174144341080250e+02
6.325474410580794390e-03,2.132872235638131642e+01
6.382978723404255858e-03,3.570490722802284722e+02
6.440483036227717326e-03,6.839675957368256149e+02
6.497987349051179660e-03,9.940252321213707773e+02
6.555491661874641128e-03,1.279578568462997964e+03
6.612995974698103463e-03,1.533588261688862303e+03
6.670500287521564931e-03,1.749792569606218649e+03
6.728004600345026398e-03,1.922861712788376281e+03
6.785508913168488733e-03,2.048529262098870277e+03
6.843013225991950201e-03,2.123697312942867484e+03
6.900517538815411668e-03,2.146512853533546604e+03
6.958021851638874003e-03,2.116413444574388450e+03
7.015526164462335471e-03,2.034141084280746782e+03
7.073030477285796938e-03,1.901723916945872816e+03
7.130534790109259273e-03,1.722426235964293483e+03
7.188039102932720741e-03,1.500668013817387191e+03
7.245543415756182208e-03,1.241915942734761529e+03
7.303047728579644543e-03,9.525486720521047346e+02
