pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
2.419999946141615510e-04,0.000000000000000000e+00,-2.419999946141615510e-04,-0.000000000000000000e+00,2.200000000000000000e+01,0.000000000000000000e+00
2.419999946141615510e-04,0.000000000000000000e+00,-1.209999973070807755e-04,-0.000000000000000000e+00,2.200000000000000000e+01,0.000000000000000000e+00
2.419999946141615510e-04,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,2.200000000000000000e+01,0.000000000000000000e+00
2.419999946141615510e-04,0.000000000000000000e+00,1.210000045830383897e-04,-0.000000000000000000e+00,2.200000000000000000e+01,0.000000000000000000e+00
2.419999946141615510e-04,0.000000000000000000e+00,2.419999946141615510e-04,-0.000000000000000000e+00,2.200000000000000000e+01,0.000000000000000000e+00
1.209999973070807755e-04,0.000000000000000000e+00,-2.419999946141615510e-04,-0.000000000000000000e+00,2.200000000000000000e+01,0.000000000000000000e+00
1.209999973070807755e-04,0.000000000000000000e+00,-1.209999973070807755e-04,-0.000000000000000000e+00,2.200000000000000000e+01,0.000000000000000000e+00
1.209999973070807755e-04,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,2.200000000000000000e+01,0.000000000000000000e+00
1.209999973070807755e-04,0.000000000000000000e+00,1.210000045830383897e-04,-0.000000000000000000e+00,2.200000000000000000e+01,0.000000000000000000e+00
1.209999973070807755e-04,0.000000000000000000e+00,2.419999946141615510e-04,-0.000000000000000000e+00,2.200000000000000000e+01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-2.419999946141615510e-04,-0.000000000000000000e+00,2.200000000000000000e+01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,-1.209999973070807755e-04,-0.000000000000000000e+00,2.200000000000000000e+01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,2.200000000000000000e+01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.210000045830383897e-04,-0.000000000000000000e+00,2.200000000000000000e+01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.419999946141615510e-04,-0.000000000000000000e+00,2.200000000000000000e+01,0.000000000000000000e+00
-1.210000045830383897e-04,0.000000000000000000e+00,-2.419999946141615510e-04,-0.000000000000000000e+00,2.200000000000000000e+01,0.000000000000000000e+00
-1.210000045830383897e-04,0.000000000000000000e+00,-1.209999973070807755e-04,-0.000000000000000000e+00,2.200000000000000000e+01,0.000000000000000000e+00
-1.210000045830383897e-04,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,2.200000000000000000e+01,0.000000000000000000e+00
-1.210000045830383897e-04,0.000000000000000000e+00,1.210000045830383897e-04,-0.000000000000000000e+00,2.200000000000000000e+01,0.000000000000000000e+00
-1.210000045830383897e-04,0.000000000000000000e+00,2.419999946141615510e-04,-0.000000000000000000e+00,2.200000000000000000e+01,0.000000000000000000e+00
-2.419999946141615510e-04,0.000000000000000000e+00,-2.419999946141615510e-04,-0.000000000000000000e+00,2.200000000000000000e+01,0.000000000000000000e+00
-2.419999946141615510e-04,0.000000000000000000e+00,-1.209999973070807755e-04,-0.000000000000000000e+00,2.200000000000000000e+01,0.000000000000000000e+00
-2.419999946141615510e-04,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,2.200000000000000000e+01,0.000000000000000000e+00
-2.419999946141615510e-04,0.000000000000000000e+00,1.210000045830383897e-04,-0.000000000000000000e+00,2.200000000000000000e+01,0.000000000000000000e+00
-2.419999946141615510e-04,0.000000000000000000e+00,2.419999946141615510e-04,-0.000000000000000000e+00,2.200000000000000000e+01,0.000000000000000000e+00
